#Campaign GEM 2008/2009 Modeling Challenge
#Event 1
#Metrics 4
#Instrument YKC
#Submission Observation
#ModelSettingID
#RORnumber
Year Month Day Hour Min Sec GeomagLat GeomagLon dBdt_NorthGeomag dBdt_EastGeomag dBdt_DownGeomag
[year]  [month]  [day] [hour]  [min]  [s] [deg] [deg] [nT/s] [nT/s] [nT/s]
2003 10 29 4 18 30     69.0000    -61.4000     -0.1550     -0.3300      0.3400
2003 10 29 4 19 30     69.0000    -61.4000     -0.1400     -0.3367     -0.0950
2003 10 29 4 20 30     69.0000    -61.4000     -0.1833     -0.0250     -0.2483
2003 10 29 4 21 30     69.0000    -61.4000     -0.0467      0.0783     -0.0383
2003 10 29 4 22 30     69.0000    -61.4000     -0.1817     -0.4900      0.1033
2003 10 29 4 23 30     69.0000    -61.4000      0.1450     -0.2950     -0.5133
2003 10 29 4 24 30     69.0000    -61.4000      0.0967      0.0183     -0.4500
2003 10 29 4 25 30     69.0000    -61.4000     -0.2150      0.0500     -0.0467
2003 10 29 4 26 30     69.0000    -61.4000     -0.2067      0.0333     -0.0083
2003 10 29 4 27 30     69.0000    -61.4000     -0.1350      0.0183     -0.2433
2003 10 29 4 28 30     69.0000    -61.4000     -0.0483      0.0233     -0.1000
2003 10 29 4 29 30     69.0000    -61.4000      0.1567      0.0900      0.2450
2003 10 29 4 30 30     69.0000    -61.4000      0.0133     -0.1283      0.0667
2003 10 29 4 31 30     69.0000    -61.4000      0.0717     -0.0233      0.1083
2003 10 29 4 32 30     69.0000    -61.4000     -0.0750     -0.0783      0.1733
2003 10 29 4 33 30     69.0000    -61.4000     -0.2783     -0.2283     -0.0267
2003 10 29 4 34 30     69.0000    -61.4000     -0.1067      0.0150      0.0400
2003 10 29 4 35 30     69.0000    -61.4000     -0.0050      0.2833      0.1200
2003 10 29 4 36 30     69.0000    -61.4000     -0.1183      0.1017      0.3033
2003 10 29 4 37 30     69.0000    -61.4000     -0.2150     -0.0500      0.2717
2003 10 29 4 38 30     69.0000    -61.4000     -0.1733     -0.0533      0.0800
2003 10 29 4 39 30     69.0000    -61.4000     -0.1500     -0.0167     -0.0483
2003 10 29 4 40 30     69.0000    -61.4000     -0.1817     -0.1217     -0.2267
2003 10 29 4 41 30     69.0000    -61.4000     -0.0733     -0.0500     -0.2650
2003 10 29 4 42 30     69.0000    -61.4000      0.0967      0.0233     -0.1450
2003 10 29 4 43 30     69.0000    -61.4000      0.1433     -0.0150     -0.0683
2003 10 29 4 44 30     69.0000    -61.4000     -0.0650     -0.2200     -0.0317
2003 10 29 4 45 30     69.0000    -61.4000     -0.0750     -0.1800      0.0350
2003 10 29 4 46 30     69.0000    -61.4000     -0.0317     -0.1317      0.0467
2003 10 29 4 47 30     69.0000    -61.4000     -0.1283     -0.0233     -0.0700
2003 10 29 4 48 30     69.0000    -61.4000     -0.1367      0.0133      0.0083
2003 10 29 4 49 30     69.0000    -61.4000     -0.0783      0.0733      0.0567
2003 10 29 4 50 30     69.0000    -61.4000      0.1200     -0.1700     -0.1200
2003 10 29 4 51 30     69.0000    -61.4000      0.3533      0.1300     -0.0817
2003 10 29 4 52 30     69.0000    -61.4000      0.0583      0.1733      0.1983
2003 10 29 4 53 30     69.0000    -61.4000     -0.1483      0.1217      0.1400
2003 10 29 4 54 30     69.0000    -61.4000      0.1467      0.2883      0.0167
2003 10 29 4 55 30     69.0000    -61.4000     -0.0733      0.0267      0.0633
2003 10 29 4 56 30     69.0000    -61.4000     -0.2250     -0.1100      0.0633
2003 10 29 4 57 30     69.0000    -61.4000     -0.3983     -0.2100     -0.1000
2003 10 29 4 58 30     69.0000    -61.4000     -0.2550     -0.1600     -0.1117
2003 10 29 4 59 30     69.0000    -61.4000     -0.1333     -0.0133     -0.1100
2003 10 29 5 0 30     69.0000    -61.4000      0.1867      0.0850      0.0467
2003 10 29 5 1 30     69.0000    -61.4000      0.0150     -0.0567      0.1517
2003 10 29 5 2 30     69.0000    -61.4000     -0.1217      0.3350      0.0450
2003 10 29 5 3 30     69.0000    -61.4000     -0.1033      0.0117      0.1167
2003 10 29 5 4 30     69.0000    -61.4000      0.0550     -0.0500      0.1650
2003 10 29 5 5 30     69.0000    -61.4000      0.0883      0.0617      0.0800
2003 10 29 5 6 30     69.0000    -61.4000     -0.0667      0.0350     -0.0817
2003 10 29 5 7 30     69.0000    -61.4000     -0.1500     -0.0783     -0.1933
2003 10 29 5 8 30     69.0000    -61.4000     -0.0100     -0.0350     -0.0467
2003 10 29 5 9 30     69.0000    -61.4000     -0.0150      0.0033     -0.0083
2003 10 29 5 10 30     69.0000    -61.4000      0.0283     -0.0567     -0.0233
2003 10 29 5 11 30     69.0000    -61.4000      0.0250      0.0367      0.0100
2003 10 29 5 12 30     69.0000    -61.4000     -0.0467      0.0500     -0.0350
2003 10 29 5 13 30     69.0000    -61.4000      0.0700      0.0500     -0.0917
2003 10 29 5 14 30     69.0000    -61.4000      0.1367      0.0250     -0.1450
2003 10 29 5 15 30     69.0000    -61.4000     -0.0750     -0.0067      0.0050
2003 10 29 5 16 30     69.0000    -61.4000     -0.0733      0.0150      0.0383
2003 10 29 5 17 30     69.0000    -61.4000     -0.0900     -0.0233     -0.0400
2003 10 29 5 18 30     69.0000    -61.4000     -0.2917      0.0567     -0.0750
2003 10 29 5 19 30     69.0000    -61.4000     -0.3467      0.0067     -0.0133
2003 10 29 5 20 30     69.0000    -61.4000     -0.2500     -0.0550      0.1800
2003 10 29 5 21 30     69.0000    -61.4000     -0.1400     -0.0250      0.3200
